 Total battles: 1972282
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 37.97222% | 584624 | 14.821% | 482917 | 16.662% | 
 | 2    | Clefable           | 23.69878% | 435222 | 11.033% | 320187 | 11.047% | 
 | 3    | Latios             | 20.51815% | 325968 |  8.264% | 226693 |  7.821% | 
 | 4    | Keldeo             | 20.30617% | 284978 |  7.225% | 210895 |  7.276% | 
 | 5    | Excadrill          | 18.03840% | 420079 | 10.650% | 300278 | 10.360% | 
 | 6    | Rotom-Wash         | 16.09121% | 458652 | 11.627% | 371785 | 12.827% | 
 | 7    | Tyranitar          | 15.97298% | 381168 |  9.663% | 290997 | 10.040% | 
 | 8    | Heatran            | 15.31154% | 432557 | 10.966% | 347854 | 12.002% | 
 | 9    | Garchomp           | 14.15223% | 442206 | 11.211% | 340850 | 11.760% | 
 | 10   | Skarmory           | 14.14761% | 306582 |  7.772% | 249763 |  8.617% | 
 | 11   | Talonflame         | 13.46996% | 406863 | 10.315% | 290995 | 10.040% | 
 | 12   | Zapdos             | 12.56726% | 198510 |  5.032% | 152490 |  5.261% | 
 | 13   | Chansey            | 11.91672% | 251897 |  6.386% | 178673 |  6.165% | 
 | 14   | Scizor-Mega        | 11.50945% | 232979 |  5.906% | 171704 |  5.924% | 
 | 15   | Ferrothorn         | 10.64739% | 469415 | 11.900% | 387883 | 13.383% | 
 | 16   | Lopunny-Mega       | 10.20670% | 269514 |  6.833% | 206385 |  7.121% | 
 | 17   | Tornadus-Therian   |  9.89954% | 135077 |  3.424% | 103266 |  3.563% | 
 | 18   | Jirachi            |  9.51539% | 181115 |  4.592% | 136017 |  4.693% | 
 | 19   | Gengar             |  8.96604% | 513144 | 13.009% | 355102 | 12.252% | 
 | 20   | Weavile            |  8.60966% | 363386 |  9.212% | 259206 |  8.943% | 
 | 21   | Bisharp            |  8.44522% | 331295 |  8.399% | 231417 |  7.984% | 
 | 22   | Manaphy            |  8.05280% | 144158 |  3.655% | 107827 |  3.720% | 
 | 23   | Latias             |  7.79697% | 160994 |  4.081% | 110765 |  3.822% | 
 | 24   | Medicham-Mega      |  7.58846% | 138208 |  3.504% | 107714 |  3.716% | 
 | 25   | Dugtrio            |  7.47268% | 69252  |  1.756% | 51400  |  1.773% | 
 | 26   | Scizor             |  7.21749% | 235144 |  5.961% | 173002 |  5.969% | 
 | 27   | Sableye-Mega       |  7.21064% | 132532 |  3.360% | 109709 |  3.785% | 
 | 28   | Metagross-Mega     |  7.07965% | 222420 |  5.639% | 161414 |  5.569% | 
 | 29   | Azumarill          |  6.92614% | 362266 |  9.184% | 270469 |  9.332% | 
 | 30   | Dragonite          |  6.71486% | 428262 | 10.857% | 291870 | 10.070% | 
 | 31   | Tangrowth          |  6.67414% | 124165 |  3.148% | 94809  |  3.271% | 
 | 32   | Manectric-Mega     |  6.35895% | 148797 |  3.772% | 116262 |  4.011% | 
 | 33   | Amoonguss          |  6.03476% | 161660 |  4.098% | 115343 |  3.980% | 
 | 34   | Starmie            |  5.84681% | 266567 |  6.758% | 190167 |  6.561% | 
 | 35   | Magnezone          |  5.76856% | 188105 |  4.769% | 140547 |  4.849% | 
 | 36   | Thundurus          |  5.51918% | 143921 |  3.649% | 108396 |  3.740% | 
 | 37   | Kyurem-Black       |  5.43073% | 166977 |  4.233% | 116345 |  4.014% | 
 | 38   | Diancie-Mega       |  5.21175% | 143609 |  3.641% | 111258 |  3.839% | 
 | 39   | Pinsir-Mega        |  4.91997% | 104982 |  2.661% | 71502  |  2.467% | 
 | 40   | Azelf              |  4.78403% | 102356 |  2.595% | 89110  |  3.075% | 
 | 41   | Venusaur-Mega      |  4.59547% | 202928 |  5.144% | 149102 |  5.144% | 
 | 42   | Mew                |  4.56836% | 150030 |  3.803% | 116236 |  4.010% | 
 | 43   | Slowbro            |  4.56526% | 169973 |  4.309% | 125739 |  4.338% | 
 | 44   | Gardevoir-Mega     |  4.54899% | 202181 |  5.126% | 138456 |  4.777% | 
 | 45   | Breloom            |  4.51913% | 239699 |  6.077% | 169056 |  5.833% | 
 | 46   | Heracross-Mega     |  4.46112% | 121808 |  3.088% | 85331  |  2.944% | 
 | 47   | Suicune            |  4.41197% | 57771  |  1.465% | 41913  |  1.446% | 
 | 48   | Gliscor            |  4.29734% | 373316 |  9.464% | 271070 |  9.353% | 
 | 49   | Slowbro-Mega       |  4.02894% | 52820  |  1.339% | 38845  |  1.340% | 
 | 50   | Serperior          |  3.98347% | 337153 |  8.547% | 234636 |  8.095% | 
 | 51   | Charizard-Mega-X   |  3.64577% | 302883 |  7.678% | 220198 |  7.597% | 
 | 52   | Togekiss           |  3.56883% | 176091 |  4.464% | 125742 |  4.338% | 
 | 53   | Volcanion          |  3.24244% | 198428 |  5.030% | 153234 |  5.287% | 
 | 54   | Charizard-Mega-Y   |  3.23531% | 277681 |  7.040% | 208893 |  7.207% | 
